Neighbourhood,Neighbourhood Number,Gender,Characteristic,Year,Value,Ward
Empire Park,5170,Total,Median age of the population,2021,30.8,papastew Ward
Empire Park,5170,Women+,Average age of the population,2021,35.6,papastew Ward
Empire Park,5170,Women+,Median age of the population,2021,31.8,papastew Ward
Ermineskin,5180,Men+,Average age of the population,2021,41.8,Ipiihkoohkanipiaohtsi Ward
Ermineskin,5180,Men+,Median age of the population,2021,38,Ipiihkoohkanipiaohtsi Ward
Ermineskin,5180,Total,Average age of the population,2021,45.2,Ipiihkoohkanipiaohtsi Ward
Ermineskin,5180,Total,Median age of the population,2021,41.2,Ipiihkoohkanipiaohtsi Ward
Ermineskin,5180,Women+,Average age of the population,2021,48.2,Ipiihkoohkanipiaohtsi Ward
Ermineskin,5180,Women+,Median age of the population,2021,45.6,Ipiihkoohkanipiaohtsi Ward
Evansdale,2260,Men+,Average age of the population,2021,36.9,tastawiyiniwak Ward
Evansdale,2260,Men+,Median age of the population,2021,35.6,tastawiyiniwak Ward
Evansdale,2260,Total,Average age of the population,2021,37.3,tastawiyiniwak Ward
Evansdale,2260,Total,Median age of the population,2021,36,tastawiyiniwak Ward
Evansdale,2260,Women+,Average age of the population,2021,37.8,tastawiyiniwak Ward
Evansdale,2260,Women+,Median age of the population,2021,36.4,tastawiyiniwak Ward
Evergreen,2270,Men+,Average age of the population,2021,44.4,Dene Ward
Evergreen,2270,Men+,Median age of the population,2021,46.8,Dene Ward
Evergreen,2270,Total,Average age of the population,2021,44.7,Dene Ward
Evergreen,2270,Total,Median age of the population,2021,47.2,Dene Ward
Evergreen,2270,Women+,Average age of the population,2021,44.9,Dene Ward
Evergreen,2270,Women+,Median age of the population,2021,48.4,Dene Ward
Falconer Heights,5190,Men+,Average age of the population,2021,45.1,pihêsiwin Ward
Falconer Heights,5190,Men+,Median age of the population,2021,48.4,pihêsiwin Ward
Falconer Heights,5190,Total,Average age of the population,2021,47.4,pihêsiwin Ward
Falconer Heights,5190,Total,Median age of the population,2021,51.2,pihêsiwin Ward
Falconer Heights,5190,Women+,Average age of the population,2021,49.5,pihêsiwin Ward
Falconer Heights,5190,Women+,Median age of the population,2021,52.4,pihêsiwin Ward
Forest Heights,6230,Men+,Average age of the population,2021,42.5,Métis Ward
Forest Heights,6230,Men+,Median age of the population,2021,40.8,Métis Ward
Forest Heights,6230,Total,Average age of the population,2021,43.5,Métis Ward
Forest Heights,6230,Total,Median age of the population,2021,41.2,Métis Ward
Forest Heights,6230,Women+,Average age of the population,2021,44.5,Métis Ward
Forest Heights,6230,Women+,Median age of the population,2021,42,Métis Ward
Fraser,2280,Men+,Average age of the population,2021,37.3,Dene Ward
Fraser,2280,Men+,Median age of the population,2021,36.8,Dene Ward
Fraser,2280,Total,Average age of the population,2021,37.8,Dene Ward
Fraser,2280,Total,Median age of the population,2021,37.2,Dene Ward
Fraser,2280,Women+,Average age of the population,2021,38.2,Dene Ward
Fraser,2280,Women+,Median age of the population,2021,37.6,Dene Ward
Fulton Place,6240,Men+,Average age of the population,2021,43.6,Métis Ward
Fulton Place,6240,Men+,Median age of the population,2021,42.8,Métis Ward
Fulton Place,6240,Total,Average age of the population,2021,43.7,Métis Ward
Fulton Place,6240,Total,Median age of the population,2021,43.2,Métis Ward
Fulton Place,6240,Women+,Average age of the population,2021,43.8,Métis Ward
Fulton Place,6240,Women+,Median age of the population,2021,43.6,Métis Ward
Gariepy,4160,Men+,Average age of the population,2021,43,sipiwiyiniwak Ward
Gariepy,4160,Men+,Median age of the population,2021,44,sipiwiyiniwak Ward
Gariepy,4160,Total,Average age of the population,2021,43.5,sipiwiyiniwak Ward
Gariepy,4160,Total,Median age of the population,2021,44.4,sipiwiyiniwak Ward
Gariepy,4160,Women+,Average age of the population,2021,44,sipiwiyiniwak Ward
Gariepy,4160,Women+,Median age of the population,2021,44.8,sipiwiyiniwak Ward
Garneau,5200,Men+,Average age of the population,2021,35.3,papastew Ward
Garneau,5200,Men+,Median age of the population,2021,30,papastew Ward
Garneau,5200,Total,Average age of the population,2021,36.2,papastew Ward
Garneau,5200,Total,Median age of the population,2021,30,papastew Ward
Garneau,5200,Women+,Average age of the population,2021,37.1,papastew Ward
Garneau,5200,Women+,Median age of the population,2021,29.8,papastew Ward
Glastonbury,4720,Men+,Average age of the population,2021,38.2,sipiwiyiniwak Ward
Glastonbury,4720,Men+,Median age of the population,2021,38.4,sipiwiyiniwak Ward
Glastonbury,4720,Total,Average age of the population,2021,40,sipiwiyiniwak Ward
Glastonbury,4720,Total,Median age of the population,2021,40,sipiwiyiniwak Ward
Glastonbury,4720,Women+,Average age of the population,2021,41.6,sipiwiyiniwak Ward
Glastonbury,4720,Women+,Median age of the population,2021,41.6,sipiwiyiniwak Ward
Glengarry,2290,Men+,Average age of the population,2021,39.9,tastawiyiniwak Ward
Glengarry,2290,Men+,Median age of the population,2021,39.6,tastawiyiniwak Ward
Glengarry,2290,Total,Average age of the population,2021,40.9,tastawiyiniwak Ward
Glengarry,2290,Total,Median age of the population,2021,40,tastawiyiniwak Ward
Glengarry,2290,Women+,Average age of the population,2021,41.9,tastawiyiniwak Ward
Glengarry,2290,Women+,Median age of the population,2021,40.4,tastawiyiniwak Ward
Glenora,3200,Men+,Average age of the population,2021,40.9,Nakota Isga Ward
Glenora,3200,Men+,Median age of the population,2021,41.6,Nakota Isga Ward
Glenora,3200,Total,Average age of the population,2021,41.4,Nakota Isga Ward
Glenora,3200,Total,Median age of the population,2021,42,Nakota Isga Ward
Glenora,3200,Women+,Average age of the population,2021,41.8,Nakota Isga Ward
Glenora,3200,Women+,Median age of the population,2021,42.8,Nakota Isga Ward
Glenridding Heights,5578,Men+,Average age of the population,2021,29.6,pihêsiwin Ward
Glenridding Heights,5578,Men+,Median age of the population,2021,32,pihêsiwin Ward
Glenridding Heights,5578,Total,Average age of the population,2021,29.8,pihêsiwin Ward
Glenridding Heights,5578,Total,Median age of the population,2021,32,pihêsiwin Ward
Glenridding Heights,5578,Women+,Average age of the population,2021,30,pihêsiwin Ward
Glenridding Heights,5578,Women+,Median age of the population,2021,32,pihêsiwin Ward
Glenridding Ravine,5579,Men+,Average age of the population,2021,29.2,pihêsiwin Ward
Glenridding Ravine,5579,Men+,Median age of the population,2021,31.6,pihêsiwin Ward
Glenridding Ravine,5579,Total,Average age of the population,2021,29.5,pihêsiwin Ward
Glenridding Ravine,5579,Total,Median age of the population,2021,31.4,pihêsiwin Ward
Glenridding Ravine,5579,Women+,Average age of the population,2021,29.9,pihêsiwin Ward
Glenridding Ravine,5579,Women+,Median age of the population,2021,31.4,pihêsiwin Ward
Glenwood,4180,Men+,Average age of the population,2021,41.9,Nakota Isga Ward
Glenwood,4180,Men+,Median age of the population,2021,41.2,Nakota Isga Ward
Glenwood,4180,Total,Average age of the population,2021,44,Nakota Isga Ward
Glenwood,4180,Total,Median age of the population,2021,43.6,Nakota Isga Ward
Glenwood,4180,Women+,Average age of the population,2021,45.9,Nakota Isga Ward
Glenwood,4180,Women+,Median age of the population,2021,45.2,Nakota Isga Ward
Gold Bar,6270,Men+,Average age of the population,2021,39.7,Métis Ward
Gold Bar,6270,Men+,Median age of the population,2021,38,Métis Ward
Gold Bar,6270,Total,Average age of the population,2021,40.4,Métis Ward
Gold Bar,6270,Total,Median age of the population,2021,39.2,Métis Ward
Gold Bar,6270,Women+,Average age of the population,2021,41.1,Métis Ward
Gold Bar,6270,Women+,Median age of the population,2021,40,Métis Ward
Goodridge Corners,3490,Men+,Average age of the population,2021,33.9,Anirniq Ward
Goodridge Corners,3490,Men+,Median age of the population,2021,32.8,Anirniq Ward
Goodridge Corners,3490,Total,Average age of the population,2021,33.6,Anirniq Ward
Goodridge Corners,3490,Total,Median age of the population,2021,32.4,Anirniq Ward
Goodridge Corners,3490,Women+,Average age of the population,2021,31.2,Anirniq Ward
Goodridge Corners,3490,Women+,Median age of the population,2021,31.2,Anirniq Ward
Grandview Heights,5210,Men+,Average age of the population,2021,44.8,papastew Ward
Grandview Heights,5210,Men+,Median age of the population,2021,46.8,papastew Ward
Grandview Heights,5210,Total,Average age of the population,2021,47.4,papastew Ward
Grandview Heights,5210,Total,Median age of the population,2021,48.8,papastew Ward
Grandview Heights,5210,Women+,Average age of the population,2021,49.9,papastew Ward
Grandview Heights,5210,Women+,Median age of the population,2021,50.8,papastew Ward
Granville,4551,Men+,Average age of the population,2021,32.4,sipiwiyiniwak Ward
Granville,4551,Men+,Median age of the population,2021,34.4,sipiwiyiniwak Ward
Granville,4551,Total,Average age of the population,2021,33.1,sipiwiyiniwak Ward
Granville,4551,Total,Median age of the population,2021,35.2,sipiwiyiniwak Ward
Granville,4551,Women+,Average age of the population,2021,33.8,sipiwiyiniwak Ward
Granville,4551,Women+,Median age of the population,2021,35.6,sipiwiyiniwak Ward
Graydon Hill,5468,Men+,Average age of the population,2021,31.5,Ipiihkoohkanipiaohtsi Ward
Graydon Hill,5468,Men+,Median age of the population,2021,32,Ipiihkoohkanipiaohtsi Ward
Graydon Hill,5468,Total,Average age of the population,2021,31.4,Ipiihkoohkanipiaohtsi Ward
Graydon Hill,5468,Total,Median age of the population,2021,31.8,Ipiihkoohkanipiaohtsi Ward
Graydon Hill,5468,Women+,Average age of the population,2021,31.4,Ipiihkoohkanipiaohtsi Ward
Graydon Hill,5468,Women+,Median age of the population,2021,31.4,Ipiihkoohkanipiaohtsi Ward
Greenfield,5220,Men+,Average age of the population,2021,42.2,papastew Ward
Greenfield,5220,Men+,Median age of the population,2021,43.6,papastew Ward
Greenfield,5220,Total,Average age of the population,2021,43,papastew Ward
Greenfield,5220,Total,Median age of the population,2021,44,papastew Ward
Greenfield,5220,Women+,Average age of the population,2021,43.8,papastew Ward
Greenfield,5220,Women+,Median age of the population,2021,44.8,papastew Ward
Greenview,6280,Men+,Average age of the population,2021,39.8,Karhiio Ward
Greenview,6280,Men+,Median age of the population,2021,39.6,Karhiio Ward
Greenview,6280,Total,Average age of the population,2021,40.4,Karhiio Ward
Greenview,6280,Total,Median age of the population,2021,40,Karhiio Ward
Greenview,6280,Women+,Average age of the population,2021,41.1,Karhiio Ward
Greenview,6280,Women+,Median age of the population,2021,40.8,Karhiio Ward
Griesbach,3111,Men+,Average age of the population,2021,36.4,Anirniq Ward
Griesbach,3111,Men+,Median age of the population,2021,35.6,Anirniq Ward
Griesbach,3111,Total,Average age of the population,2021,37.9,Anirniq Ward
Griesbach,3111,Total,Median age of the population,2021,36.8,Anirniq Ward
Griesbach,3111,Women+,Average age of the population,2021,39.3,Anirniq Ward
Griesbach,3111,Women+,Median age of the population,2021,38,Anirniq Ward
Grovenor,3210,Men+,Average age of the population,2021,39,Nakota Isga Ward
Grovenor,3210,Men+,Median age of the population,2021,38,Nakota Isga Ward
Grovenor,3210,Total,Average age of the population,2021,39.5,Nakota Isga Ward
Grovenor,3210,Total,Median age of the population,2021,38.4,Nakota Isga Ward
Grovenor,3210,Women+,Average age of the population,2021,39.8,Nakota Isga Ward
Grovenor,3210,Women+,Median age of the population,2021,38.8,Nakota Isga Ward
Haddow,5610,Men+,Average age of the population,2021,39.8,pihêsiwin Ward
Haddow,5610,Men+,Median age of the population,2021,40.8,pihêsiwin Ward
Haddow,5610,Total,Average age of the population,2021,41.2,pihêsiwin Ward
Haddow,5610,Total,Median age of the population,2021,43.2,pihêsiwin Ward
Haddow,5610,Women+,Average age of the population,2021,42.6,pihêsiwin Ward
Haddow,5610,Women+,Median age of the population,2021,44.8,pihêsiwin Ward
Hairsine,2320,Men+,Average age of the population,2021,35.1,Dene Ward
Hairsine,2320,Men+,Median age of the population,2021,34.4,Dene Ward
Hairsine,2320,Total,Average age of the population,2021,36.9,Dene Ward
Hairsine,2320,Total,Median age of the population,2021,36,Dene Ward
Hairsine,2320,Women+,Average age of the population,2021,38.6,Dene Ward
Hairsine,2320,Women+,Median age of the population,2021,37.2,Dene Ward
Hawks Ridge,4473,Men+,Average age of the population,2021,30.8,Nakota Isga Ward
Hawks Ridge,4473,Men+,Median age of the population,2021,34.4,Nakota Isga Ward
Hawks Ridge,4473,Total,Average age of the population,2021,29.7,Nakota Isga Ward
Hawks Ridge,4473,Total,Median age of the population,2021,33.6,Nakota Isga Ward
Hawks Ridge,4473,Women+,Average age of the population,2021,28.8,Nakota Isga Ward
Hawks Ridge,4473,Women+,Median age of the population,2021,32,Nakota Isga Ward
Hays Ridge Area,5465,Men+,Average age of the population,2021,39.2,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Men+,Median age of the population,2021,40,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Total,Average age of the population,2021,39.6,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Total,Median age of the population,2021,40.8,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Women+,Average age of the population,2021,40,Ipiihkoohkanipiaohtsi Ward
Hays Ridge Area,5465,Women+,Median age of the population,2021,41.2,Ipiihkoohkanipiaohtsi Ward
Hazeldean,6290,Men+,Average age of the population,2021,40.7,papastew Ward
Hazeldean,6290,Men+,Median age of the population,2021,38.4,papastew Ward
Hazeldean,6290,Total,Average age of the population,2021,42.7,papastew Ward
Hazeldean,6290,Total,Median age of the population,2021,40,papastew Ward
Hazeldean,6290,Women+,Average age of the population,2021,44.7,papastew Ward
Hazeldean,6290,Women+,Median age of the population,2021,41.2,papastew Ward
Henderson Estates,5230,Men+,Average age of the population,2021,45.1,pihêsiwin Ward
Henderson Estates,5230,Men+,Median age of the population,2021,49.6,pihêsiwin Ward
Henderson Estates,5230,Total,Average age of the population,2021,45.9,pihêsiwin Ward
Henderson Estates,5230,Total,Median age of the population,2021,50.4,pihêsiwin Ward
Henderson Estates,5230,Women+,Average age of the population,2021,46.6,pihêsiwin Ward
Henderson Estates,5230,Women+,Median age of the population,2021,51.6,pihêsiwin Ward
Heritage Valley Town Centre,5464,Men+,Average age of the population,2021,30,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Men+,Median age of the population,2021,30.8,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Total,Average age of the population,2021,30.3,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Total,Median age of the population,2021,30.2,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Women+,Average age of the population,2021,30.5,Ipiihkoohkanipiaohtsi Ward
Heritage Valley Town Centre,5464,Women+,Median age of the population,2021,29.6,Ipiihkoohkanipiaohtsi Ward
High Park,4200,Men+,Average age of the population,2021,43.2,Nakota Isga Ward
High Park,4200,Men+,Median age of the population,2021,44,Nakota Isga Ward
High Park,4200,Total,Average age of the population,2021,43.6,Nakota Isga Ward
High Park,4200,Total,Median age of the population,2021,44,Nakota Isga Ward
High Park,4200,Women+,Average age of the population,2021,44,Nakota Isga Ward
High Park,4200,Women+,Median age of the population,2021,44,Nakota Isga Ward
Highlands,2330,Men+,Average age of the population,2021,42.5,Métis Ward
Highlands,2330,Men+,Median age of the population,2021,42,Métis Ward
Highlands,2330,Total,Average age of the population,2021,43.6,Métis Ward
Highlands,2330,Total,Median age of the population,2021,43.6,Métis Ward
Highlands,2330,Women+,Average age of the population,2021,44.7,Métis Ward
Highlands,2330,Women+,Median age of the population,2021,45.2,Métis Ward
Hillview,6300,Men+,Average age of the population,2021,39.6,Karhiio Ward
Hillview,6300,Men+,Median age of the population,2021,39.6,Karhiio Ward
Hillview,6300,Total,Average age of the population,2021,40.3,Karhiio Ward
Hillview,6300,Total,Median age of the population,2021,40,Karhiio Ward
Hillview,6300,Women+,Average age of the population,2021,40.9,Karhiio Ward
Hillview,6300,Women+,Median age of the population,2021,40.8,Karhiio Ward
Hodgson,5620,Men+,Average age of the population,2021,42.3,pihêsiwin Ward
Hodgson,5620,Men+,Median age of the population,2021,44.8,pihêsiwin Ward
Hodgson,5620,Total,Average age of the population,2021,42.8,pihêsiwin Ward
Hodgson,5620,Total,Median age of the population,2021,45.2,pihêsiwin Ward
Hodgson,5620,Women+,Average age of the population,2021,43.3,pihêsiwin Ward
Hodgson,5620,Women+,Median age of the population,2021,46,pihêsiwin Ward
Hollick-Kenyon,2340,Men+,Average age of the population,2021,35.2,Dene Ward
Hollick-Kenyon,2340,Men+,Median age of the population,2021,34.4,Dene Ward
Hollick-Kenyon,2340,Total,Average age of the population,2021,35.8,Dene Ward
Hollick-Kenyon,2340,Total,Median age of the population,2021,35.2,Dene Ward
Hollick-Kenyon,2340,Women+,Average age of the population,2021,36.5,Dene Ward
Hollick-Kenyon,2340,Women+,Median age of the population,2021,36,Dene Ward
Holyrood,6310,Men+,Average age of the population,2021,40.6,Métis Ward
Holyrood,6310,Men+,Median age of the population,2021,40,Métis Ward
Holyrood,6310,Total,Average age of the population,2021,41.7,Métis Ward
Holyrood,6310,Total,Median age of the population,2021,40.8,Métis Ward
Holyrood,6310,Women+,Average age of the population,2021,42.7,Métis Ward
Holyrood,6310,Women+,Median age of the population,2021,41.6,Métis Ward
Homesteader,2350,Men+,Average age of the population,2021,33.6,Dene Ward
Homesteader,2350,Men+,Median age of the population,2021,32.4,Dene Ward
Homesteader,2350,Total,Average age of the population,2021,34.7,Dene Ward
Homesteader,2350,Total,Median age of the population,2021,33.6,Dene Ward
Homesteader,2350,Women+,Average age of the population,2021,35.7,Dene Ward
Homesteader,2350,Women+,Median age of the population,2021,34.4,Dene Ward
Horse Hill Neighbourhood 1A,2691,Men+,Average age of the population,2021,41.6,Dene Ward
Horse Hill Neighbourhood 1A,2691,Men+,Median age of the population,2021,44.8,Dene Ward
Horse Hill Neighbourhood 1A,2691,Total,Average age of the population,2021,41.5,Dene Ward
Horse Hill Neighbourhood 1A,2691,Total,Median age of the population,2021,45.6,Dene Ward
Horse Hill Neighbourhood 1A,2691,Women+,Average age of the population,2021,41.4,Dene Ward
Horse Hill Neighbourhood 1A,2691,Women+,Median age of the population,2021,46,Dene Ward
Hudson,3480,Men+,Average age of the population,2021,35.8,Anirniq Ward
Hudson,3480,Men+,Median age of the population,2021,35.6,Anirniq Ward
Hudson,3480,Total,Average age of the population,2021,36.1,Anirniq Ward
Hudson,3480,Total,Median age of the population,2021,36.4,Anirniq Ward
Hudson,3480,Women+,Average age of the population,2021,36.4,Anirniq Ward
Hudson,3480,Women+,Median age of the population,2021,36.8,Anirniq Ward
Idylwylde,6320,Men+,Average age of the population,2021,42,Métis Ward
Idylwylde,6320,Men+,Median age of the population,2021,40.8,Métis Ward
Idylwylde,6320,Total,Average age of the population,2021,44.9,Métis Ward
Idylwylde,6320,Total,Median age of the population,2021,44,Métis Ward
Idylwylde,6320,Women+,Average age of the population,2021,47.7,Métis Ward
Idylwylde,6320,Women+,Median age of the population,2021,47.2,Métis Ward
Inglewood,3240,Men+,Average age of the population,2021,39.5,Anirniq Ward
Inglewood,3240,Men+,Median age of the population,2021,38.8,Anirniq Ward
Inglewood,3240,Total,Average age of the population,2021,40.1,Anirniq Ward
Inglewood,3240,Total,Median age of the population,2021,38.4,Anirniq Ward
Inglewood,3240,Women+,Average age of the population,2021,40.6,Anirniq Ward
Inglewood,3240,Women+,Median age of the population,2021,38,Anirniq Ward
Jackson Heights,6330,Men+,Average age of the population,2021,40.6,Sspomitapi Ward
Jackson Heights,6330,Men+,Median age of the population,2021,39.6,Sspomitapi Ward
Jackson Heights,6330,Total,Average age of the population,2021,41.3,Sspomitapi Ward
Jackson Heights,6330,Total,Median age of the population,2021,40.8,Sspomitapi Ward
Jackson Heights,6330,Women+,Average age of the population,2021,42,Sspomitapi Ward
Jackson Heights,6330,Women+,Median age of the population,2021,41.6,Sspomitapi Ward
Jamieson Place,4220,Men+,Average age of the population,2021,41.2,sipiwiyiniwak Ward
Jamieson Place,4220,Men+,Median age of the population,2021,42.8,sipiwiyiniwak Ward
Jamieson Place,4220,Total,Average age of the population,2021,41.8,sipiwiyiniwak Ward
Jamieson Place,4220,Total,Median age of the population,2021,44,sipiwiyiniwak Ward
Jamieson Place,4220,Women+,Average age of the population,2021,42.4,sipiwiyiniwak Ward
Jamieson Place,4220,Women+,Median age of the population,2021,44.8,sipiwiyiniwak Ward
Jasper Park,4230,Men+,Average age of the population,2021,38.6,sipiwiyiniwak Ward
Jasper Park,4230,Men+,Median age of the population,2021,37.6,sipiwiyiniwak Ward
Jasper Park,4230,Total,Average age of the population,2021,39.6,sipiwiyiniwak Ward
Jasper Park,4230,Total,Median age of the population,2021,38.4,sipiwiyiniwak Ward
Jasper Park,4230,Women+,Average age of the population,2021,40.6,sipiwiyiniwak Ward
Jasper Park,4230,Women+,Median age of the population,2021,39.2,sipiwiyiniwak Ward
Kameyosek,6340,Men+,Average age of the population,2021,39.6,Karhiio Ward
Kameyosek,6340,Men+,Median age of the population,2021,37.6,Karhiio Ward
Kameyosek,6340,Total,Average age of the population,2021,43.2,Karhiio Ward
Kameyosek,6340,Total,Median age of the population,2021,40,Karhiio Ward
Kameyosek,6340,Women+,Average age of the population,2021,46.2,Karhiio Ward
Kameyosek,6340,Women+,Median age of the population,2021,43.6,Karhiio Ward
Keheewin,5250,Men+,Average age of the population,2021,44.4,Ipiihkoohkanipiaohtsi Ward
Keheewin,5250,Men+,Median age of the population,2021,44,Ipiihkoohkanipiaohtsi Ward
Keheewin,5250,Total,Average age of the population,2021,46.4,Ipiihkoohkanipiaohtsi Ward
Keheewin,5250,Total,Median age of the population,2021,47.2,Ipiihkoohkanipiaohtsi Ward
Keheewin,5250,Women+,Average age of the population,2021,48.1,Ipiihkoohkanipiaohtsi Ward
Keheewin,5250,Women+,Median age of the population,2021,50.8,Ipiihkoohkanipiaohtsi Ward
Kenilworth,6350,Men+,Average age of the population,2021,43,Métis Ward
Kenilworth,6350,Men+,Median age of the population,2021,42,Métis Ward
Kenilworth,6350,Total,Average age of the population,2021,44.6,Métis Ward
Kenilworth,6350,Total,Median age of the population,2021,44,Métis Ward
Kenilworth,6350,Women+,Average age of the population,2021,46.2,Métis Ward
Kenilworth,6350,Women+,Median age of the population,2021,46.8,Métis Ward
Kensington,3250,Men+,Average age of the population,2021,44.1,Anirniq Ward
Kensington,3250,Men+,Median age of the population,2021,43.6,Anirniq Ward
Kensington,3250,Total,Average age of the population,2021,46.7,Anirniq Ward
Kensington,3250,Total,Median age of the population,2021,46.4,Anirniq Ward
Kensington,3250,Women+,Average age of the population,2021,49.4,Anirniq Ward
Kensington,3250,Women+,Median age of the population,2021,49.6,Anirniq Ward
Kernohan,2390,Men+,Average age of the population,2021,40.3,Dene Ward
Kernohan,2390,Men+,Median age of the population,2021,40.4,Dene Ward
Kernohan,2390,Total,Average age of the population,2021,41.5,Dene Ward
Kernohan,2390,Total,Median age of the population,2021,41.6,Dene Ward
Kernohan,2390,Women+,Average age of the population,2021,42.6,Dene Ward
Kernohan,2390,Women+,Median age of the population,2021,42.8,Dene Ward
Keswick,5574,Men+,Average age of the population,2021,31.3,pihêsiwin Ward
Keswick,5574,Men+,Median age of the population,2021,32.4,pihêsiwin Ward
Keswick,5574,Total,Average age of the population,2021,31.3,pihêsiwin Ward
Keswick,5574,Total,Median age of the population,2021,32,pihêsiwin Ward
Keswick,5574,Women+,Average age of the population,2021,31.2,pihêsiwin Ward
Keswick,5574,Women+,Median age of the population,2021,31.8,pihêsiwin Ward
Kildare,2400,Men+,Average age of the population,2021,41.2,tastawiyiniwak Ward
Kildare,2400,Men+,Median age of the population,2021,40.4,tastawiyiniwak Ward
Kildare,2400,Total,Average age of the population,2021,45.7,tastawiyiniwak Ward
Kildare,2400,Total,Median age of the population,2021,44,tastawiyiniwak Ward
Kildare,2400,Women+,Average age of the population,2021,49.6,tastawiyiniwak Ward
Kildare,2400,Women+,Median age of the population,2021,49.6,tastawiyiniwak Ward
Kilkenny,2410,Men+,Average age of the population,2021,37.5,tastawiyiniwak Ward
Kilkenny,2410,Men+,Median age of the population,2021,35.6,tastawiyiniwak Ward
Kilkenny,2410,Total,Average age of the population,2021,38.2,tastawiyiniwak Ward
Kilkenny,2410,Total,Median age of the population,2021,36.4,tastawiyiniwak Ward
Kilkenny,2410,Women+,Average age of the population,2021,38.9,tastawiyiniwak Ward
Kilkenny,2410,Women+,Median age of the population,2021,37.6,tastawiyiniwak Ward
Killarney,2420,Men+,Average age of the population,2021,36.4,tastawiyiniwak Ward
Killarney,2420,Men+,Median age of the population,2021,35.2,tastawiyiniwak Ward
Killarney,2420,Total,Average age of the population,2021,36.5,tastawiyiniwak Ward
Killarney,2420,Total,Median age of the population,2021,34.8,tastawiyiniwak Ward
Killarney,2420,Women+,Average age of the population,2021,36.5,tastawiyiniwak Ward
Killarney,2420,Women+,Median age of the population,2021,34.4,tastawiyiniwak Ward
King Edward Park,6360,Men+,Average age of the population,2021,38.9,Métis Ward
King Edward Park,6360,Men+,Median age of the population,2021,37.2,Métis Ward
King Edward Park,6360,Total,Average age of the population,2021,39.2,Métis Ward
King Edward Park,6360,Total,Median age of the population,2021,37.2,Métis Ward
King Edward Park,6360,Women+,Average age of the population,2021,39.5,Métis Ward
King Edward Park,6360,Women+,Median age of the population,2021,37.6,Métis Ward
Kinglet Gardens,4477,Men+,Average age of the population,2021,46.8,Nakota Isga Ward
Kinglet Gardens,4477,Men+,Median age of the population,2021,48.8,Nakota Isga Ward
Kinglet Gardens,4477,Total,Average age of the population,2021,45.4,Nakota Isga Ward
Kinglet Gardens,4477,Total,Median age of the population,2021,48,Nakota Isga Ward
Kinglet Gardens,4477,Women+,Average age of the population,2021,44,Nakota Isga Ward
Kinglet Gardens,4477,Women+,Median age of the population,2021,46.4,Nakota Isga Ward
Kiniski Gardens,6370,Men+,Average age of the population,2021,38.3,Sspomitapi Ward
Kiniski Gardens,6370,Men+,Median age of the population,2021,38,Sspomitapi Ward
Kiniski Gardens,6370,Total,Average age of the population,2021,39,Sspomitapi Ward
Kiniski Gardens,6370,Total,Median age of the population,2021,38.8,Sspomitapi Ward
Kiniski Gardens,6370,Women+,Average age of the population,2021,39.9,Sspomitapi Ward
Kiniski Gardens,6370,Women+,Median age of the population,2021,40,Sspomitapi Ward
Kirkness,2430,Men+,Average age of the population,2021,36.4,Dene Ward
Kirkness,2430,Men+,Median age of the population,2021,36,Dene Ward
Kirkness,2430,Total,Average age of the population,2021,37.3,Dene Ward
Kirkness,2430,Total,Median age of the population,2021,36.4,Dene Ward
Kirkness,2430,Women+,Average age of the population,2021,38.2,Dene Ward
Kirkness,2430,Women+,Median age of the population,2021,36.8,Dene Ward
Klarvatten,2440,Men+,Average age of the population,2021,35.3,tastawiyiniwak Ward
Klarvatten,2440,Men+,Median age of the population,2021,36,tastawiyiniwak Ward
Klarvatten,2440,Total,Average age of the population,2021,35.6,tastawiyiniwak Ward
Klarvatten,2440,Total,Median age of the population,2021,36,tastawiyiniwak Ward
Klarvatten,2440,Women+,Average age of the population,2021,35.8,tastawiyiniwak Ward
Klarvatten,2440,Women+,Median age of the population,2021,36.4,tastawiyiniwak Ward
La Perle,4240,Men+,Average age of the population,2021,38,Nakota Isga Ward
La Perle,4240,Men+,Median age of the population,2021,37.6,Nakota Isga Ward
La Perle,4240,Total,Average age of the population,2021,39.7,Nakota Isga Ward
La Perle,4240,Total,Median age of the population,2021,39.6,Nakota Isga Ward
La Perle,4240,Women+,Average age of the population,2021,41.4,Nakota Isga Ward
La Perle,4240,Women+,Median age of the population,2021,41.6,Nakota Isga Ward
Lago Lindo,2450,Men+,Average age of the population,2021,41.1,tastawiyiniwak Ward
Lago Lindo,2450,Men+,Median age of the population,2021,41.2,tastawiyiniwak Ward
Lago Lindo,2450,Total,Average age of the population,2021,41.9,tastawiyiniwak Ward
Lago Lindo,2450,Total,Median age of the population,2021,42.8,tastawiyiniwak Ward
